File_name,File_path,LOC,LLOC,SLOC,Halstead_Volume,CC,h,N,calculated_length,Buggy
ast4.py,C:\dataset\\ast4.py,61,55,55,1763.469184,20,141,247,985.7312625,Y
circular_counter.py,C:\dataset\algorithms-master\array\circular_counter.py,48,10,10,49.82892142,2,10,15,23.509775,N
flatten.py,C:\dataset\algorithms-master\array\flatten.py,56,8,8,0,4,0,0,0,N
garage.py,C:\dataset\algorithms-master\array\garage.py,42,21,21,55.50659577,6,13,15,37.97416845,N
longest_non_repeat.py,C:\dataset\algorithms-master\array\longest_non_repeat.py,27,13,13,70.32403072,4,15,18,44.82892142,N
merge_intervals.py,C:\dataset\algorithms-master\array\merge_intervals.py,40,24,24,131.7695227,7,21,30,75.60964047,N
missing_ranges.py,C:\dataset\algorithms-master\array\missing_ranges.py,27,22,22,105.4860461,6,15,27,44.82892142,N
plus_one.py,C:\dataset\algorithms-master\array\plus_one.py,45,31,30,302.2059749,9,31,61,126.6368206,N
rotate_array.py,C:\dataset\algorithms-master\array\rotate_array.py,52,18,18,148.4618426,4,15,38,44.82892142,N
anagram.py,C:\dataset\algorithms-master\backtrack\anagram.py,44,38,36,242.1309177,12,33,48,141.8629171,N
combination_sum.py,C:\dataset\algorithms-master\backtrack\combination_sum.py,31,13,13,38.03910002,4,9,12,19.60964047,N
expression_add_operators.py,C:\dataset\algorithms-master\backtrack\expression_add_operators.py,53,31,29,389.8255093,8,35,76,152.3819626,N
factor_combinations.py,C:\dataset\algorithms-master\backtrack\factor_combinations.py,60,19,19,309.1341075,4,30,63,125.548875,N
generate_abbreviations.py,C:\dataset\algorithms-master\backtrack\generate_abbreviations.py,26,15,15,125.6427124,4,14,33,42.80863531,N
generate_parenthesis.py,C:\dataset\algorithms-master\backtrack\generate_parenthesis.py,32,14,14,132,6,16,33,49.66338828,N
letter_combination.py,C:\dataset\algorithms-master\backtrack\letter_combination.py,35,16,24,27,6,8,9,17.509775,N
palindrome_partitioning.py,C:\dataset\algorithms-master\backtrack\palindrome_partitioning.py,29,21,19,86.03910002,9,12,24,32,N
pattern_match.py,C:\dataset\algorithms-master\backtrack\pattern_match.py,52,29,28,203.1220487,12,31,41,129.6905845,N
permute.py,C:\dataset\algorithms-master\backtrack\permute.py,40,15,13,25.2661943,4,7,9,15.509775,N
permute_unique.py,C:\dataset\algorithms-master\backtrack\permute_unique.py,24,12,11,72,6,16,18,51.01955001,N
subsets.py,C:\dataset\algorithms-master\backtrack\subsets.py,59,20,20,47.54887502,4,9,15,21.65148445,N
subsets_unique.py,C:\dataset\algorithms-master\backtrack\subsets_unique.py,38,15,15,20.89735285,2,5,9,6.754887502,N
word_search.py,C:\dataset\algorithms-master\backtrack\word_search.py,111,51,68,340.6033981,15,40,64,178.9351967,N
shortest_distance_from_all_buildings.py,C:\dataset\algorithms-master\bfs\shortest_distance_from_all_buildings.py,43,28,29,356.8590709,18,38,68,167.8252188,N
word_ladder.py,C:\dataset\algorithms-master\bfs\word_ladder.py,62,33,32,167.1788228,12,25,36,98.04820237,N
bytes_int_conversion.py,C:\dataset\algorithms-master\bit\bytes_int_conversion.py,35,26,26,144.946475,5,21,33,75.60964047,N
count_ones.py,C:\dataset\algorithms-master\bit\count_ones.py,25,8,8,38.03910002,3,9,12,19.60964047,N
find_missing_number.py,C:\dataset\algorithms-master\bit\find_missing_number.py,18,6,6,25.2661943,2,7,9,13.60964047,N
power_of_two.py,C:\dataset\algorithms-master\bit\power_of_two.py,11,2,2,50.18947501,2,12,14,31.26112493,N
reverse_bits.py,C:\dataset\algorithms-master\bit\reverse_bits.py,18,8,8,64.52932501,2,12,18,31.26112493,N
single_number.py,C:\dataset\algorithms-master\bit\single_number.py,19,5,5,4.754887502,2,3,3,2,N
single_number2.py,C:\dataset\algorithms-master\bit\single_number2.py,46,17,17,232.0421295,6,33,46,136.1612434,N
subsets.py,C:\dataset\algorithms-master\bit\subsets.py,94,21,21,105.4156181,8,21,24,74.11313394,N
math_parser.py,C:\dataset\algorithms-master\calculator\math_parser.py,120,57,57,449.921697,21,47,81,222.5444556,Y
all_factors.py,C:\dataset\algorithms-master\dfs\all_factors.py,73,36,36,512.2701552,9,42,95,196.9737366,N
count_islands.py,C:\dataset\algorithms-master\dfs\count_islands.py,44,18,18,178.8135375,9,24,39,89.13835276,N
pacific_atlantic.py,C:\dataset\algorithms-master\dfs\pacific_atlantic.py,65,31,29,225.6211065,19,26,48,100.3621072,N
sudoku_solver.py,C:\dataset\algorithms-master\dfs\sudoku_solver.py,79,54,52,417.3808353,19,45,76,216.7497745,N
walls_and_gates.py,C:\dataset\algorithms-master\dfs\walls_and_gates.py,22,15,15,227.4310126,9,22,51,79.509775,N
buy_sell_stock.py,C:\dataset\algorithms-master\dp\buy_sell_stock.py,48,12,12,66.60791493,4,13,18,40.05374781,N
climbing_stairs.py,C:\dataset\algorithms-master\dp\climbing_stairs.py,32,10,10,47.54887502,3,9,15,21.65148445,N
combination_sum.py,C:\dataset\algorithms-master\dp\combination_sum.py,66,27,27,194.3192398,7,29,40,119.5517,N
house_robber.py,C:\dataset\algorithms-master\dp\house_robber.py,25,9,9,4.754887502,2,3,3,2,N
job_scheduling.py,C:\dataset\algorithms-master\dp\job_scheduling.py,62,31,30,191.7555596,7,22,43,79.509775,N
knapsack.py,C:\dataset\algorithms-master\dp\knapsack.py,38,16,19,64.52932501,5,12,18,33.28421252,N
longest_increasing.py,C:\dataset\algorithms-master\dp\longest_increasing.py,23,13,13,15.509775,5,6,6,10,N
max_product_subarray.py,C:\dataset\algorithms-master\dp\max_product_subarray.py,64,31,30,133.7829486,7,22,30,81.09650878,N
max_subarray.py,C:\dataset\algorithms-master\dp\max_subarray.py,11,9,9,18.09473751,2,6,7,10,N
num_decodings.py,C:\dataset\algorithms-master\dp\num_decodings.py,52,25,24,436.3613945,14,46,79,219.336581,N
regex_matching.py,C:\dataset\algorithms-master\dp\regex_matching.py,107,51,52,388.5007509,12,40,73,182.1094106,N
rod_cut.py,C:\dataset\algorithms-master\dp\rod_cut.py,25,13,13,74.00879436,4,13,20,37.97416845,N
word_break.py,C:\dataset\algorithms-master\dp\word_break.py,44,13,13,81.74925683,6,17,20,53.56352281,N
clone_graph.py,C:\dataset\algorithms-master\graph\clone_graph.py,93,53,50,51.89147428,12,11,15,30.52932501,N
cycle_detection.py,C:\dataset\algorithms-master\graph\cycle_detection.py,52,27,35,27,8,8,9,17.509775,N
find_all_cliques.py,C:\dataset\algorithms-master\graph\find_all_cliques.py,35,25,25,31.69925001,1,9,10,20.26466251,N
find_path.py,C:\dataset\algorithms-master\graph\find_path.py,53,42,46,240,17,32,48,135.7478892,N
graph.py,C:\dataset\algorithms-master\graph\graph.py,3,3,3,0,1,0,0,0,N
markov_chain.py,C:\dataset\algorithms-master\graph\markov_chain.py,26,18,22,13.93156857,4,5,6,6.754887502,Y
minimum_spanning_tree.py,C:\dataset\algorithms-master\graph\minimum_spanning_tree.py,130,49,48,191.3687332,11,30,39,125.548875,Y
satisfiability.py,C:\dataset\algorithms-master\graph\satisfiability.py,125,72,72,157.8911105,28,25,34,98.04820237,N
